"phi","SPY","EXS1.DE","ISF.L","EWL","IWC","EWI","EEM"
0.185090620379495,-0.0261826480377012,-0.0154371700248506,0.000233734615094683,0.0182544914740821,-0.0331659725647113,-0.0192633004423297,0.0197467902943034
0.150832082627028,-0.0089823830454705,-0.0320899899675569,-0.0226368809591415,0.017541168330562,-0.0111372211504648,-0.0090955856019681,-0.0382529613611258
0.122914478880461,0.0465611612307768,0.0612197671486499,0.067670381850343,-0.001933928354521,0.0166067499950224,0.0568951480065487,0.0874453850373342
0.100164161730854,0.0150035683825971,0.01380571167791,-0.0152912894419286,0.00309224913416184,0.0366918875484323,0.0089117540141066,0.0311476187275472
0.0816247148962981,-0.0872760590082065,-0.100569859691045,-0.0701517323971252,-0.0688724260036904,-0.0965120075358903,-0.119418277672235,-0.0972767379062618
0.0665167457778429,-0.00902610458213715,0.00934969494450488,-0.0380833753458019,-0.00547939845126644,0.0479992340876398,-0.0328641462549921,-0.0566124810794721
0.0542051200361969,0.0153351636916526,-0.00902013488491971,0.0374029707334005,-0.032648725002737,0.0268546098336349,-0.0475815386183371,-0.0652404904803001
0.0441722607409522,-0.0989075636520873,-0.0966125084992457,-0.138032352073994,-0.085186935891298,-0.0716033469554689,-0.14214061670773,-0.158780656488679
0.0359963895968446,-0.180547155154147,-0.156209329746093,-0.1118091385581,-0.135231225970516,-0.237392149548789,-0.268371328938795,-0.295418573949632
0.0293337955149426,-0.0721474678479792,-0.0662087045747346,-0.0246591195413739,-0.0977082740837152,-0.136137527712797,-0.059410797172438,-0.102611656637459
0.0239043851049967,-0.00442496396923353,0.0294795806860102,0.0253182657429187,0.102025489777303,-0.00217011143607104,0.0812963385417604,0.0850337200081168
0.0194799076361225,-0.0715088909198229,-0.103552636438971,-0.0510830971326888,-0.14935633700679,-0.0718364571777257,-0.182199300215864,-0.0842111292262842
0.0158743594468173,-0.113671750847408,-0.120746903000017,-0.0824952227294968,-0.119996399450729,-0.145248046872916,-0.149767923882015,-0.0647448883615729
0.0129361644086788,0.0800219800299242,0.0611590116904459,0.0261057558431608,0.0813567800022628,0.0746915190287045,0.0721623898689923,0.155831794737495
0.0105418017129453,0.0947151877024774,0.153410265113007,0.0788116930757443,0.0629779480040606,0.150944370593716,0.17251608989154,0.144604735908668
0.00859061309397865,0.0568091712851642,0.0230652512154692,0.0348161412628034,0.111322886439123,0.0406391405889113,0.130864844860926,0.14790224630651
0.00700057118697393,-0.000654941817031407,-0.0286362962649243,-0.0324725733472429,-0.00836864842907126,0.030572040922642,-0.039080781163173,-0.0227515068723489
0.00570483112296611,0.0719535856488172,0.107525807708912,0.0783125753458664,0.0998683193742944,0.091781275900169,0.080421429263962,0.104491350659635
0.00464892039125607,0.04521283382606,0.0321875349912526,0.0618970485054824,0.0542017260700036,0.0509593977460585,0.0875321287313047,0.00668550397580292
0.0037884488319436,0.0259036736305118,0.0268421406730104,0.0451503785817904,0.0500341575504439,0.0434980374014518,0.0605939780972204,0.0771765697659026
0.00308724248736319,-0.0194121741029232,-0.046466004698805,-0.0190444783753474,-0.0157776005323744,-0.0959187264241352,-0.0616356279202908,-0.0350451228496116
0.0025158228601152,0.0597837966990786,0.0384887164308521,0.0273721878759181,0.0326691680486513,0.0160448055974554,0.0282578275850041,0.0755897563524606
0.00205016764617156,0.0285650639973367,0.0621042116400323,0.0393319524225326,0.0140231641465332,0.0812000004256168,0.00879926693784583,0.0288540165300866
0.0016707008446597,-0.0466639076692728,-0.0645862749667954,-0.0389462756000007,-0.049036020293562,-0.036443034484547,-0.106546673384211,-0.077386916162367
0.00136146978885309,0.0307182034329081,-0.00153053405111603,0.0311278959737145,0.0277923240986486,0.0455387903415838,-0.0415281358240907,0.0176083051973852
0.00110947450100633,0.0590983343551938,0.0931670393578328,0.0628318005379578,0.0538029457750264,0.0778056842884767,0.0715804540924632,0.077987009571157
0.000904121177319841,0.015351885708502,-0.00629925076063742,-0.0200307824945307,-0.0524333311622862,0.0848154355568993,-0.0846217527802824,-0.00166330964771522
0.000736776827711473,-0.0827891116985384,-0.0344646192517102,-0.0714258069337825,-0.112890876834113,-0.0899530465523659,-0.160135149768372,-0.0986451803306316
0.00060040634758912,-0.0531276554266045,0.00326501281769698,-0.0529140159543839,0.0364153678616637,-0.0872878027561641,-0.0184640723547029,-0.0140850053624311
0.000489276764234064,0.0660693016476745,0.0308484828410638,0.0686548608750774,0.0597121468979345,0.0552025926297186,0.167109913774446,0.103751378326167
